Entity,Code,Year,RuralElectricity,UrbanElectricity,Continent
Malaysia,MYS,2018,99.96762084960940,100,
Europe and Central Asia,,2018,99.98230743408200,99.99565887451170,
Samoa,WSM,2018,99.9941177368164,99.9960708618164,
Albania,ALB,2018,100,100,
Andorra,AND,2018,100,100,
Antigua and Barbuda,ATG,2018,100,100,
Aruba,ABW,2018,100,100,
Australia,AUS,2018,100,100,
Austria,AUT,2018,100,100,
Azerbaijan,AZE,2018,100,100,
Bahamas,BHS,2018,100,100,
Bahrain,BHR,2018,100,100,
Barbados,BRB,2018,100,100,
Belarus,BLR,2018,100,100,
Belgium,BEL,2018,100,100,
Bermuda,BMU,2018,100,100,
Bosnia and Herzegovina,BIH,2018,100,100,
British Virgin Islands,VGB,2018,100,100,
Brunei,BRN,2018,100,100,
Bulgaria,BGR,2018,100,100,
Canada,CAN,2018,100,100,
Cayman Islands,CYM,2018,100,100,
Channel Islands,OWID_CIS,2018,100,100,
Chile,CHL,2018,100,100,
China,CHN,2018,100,100,
Croatia,HRV,2018,100,100,
Curacao,CUW,2018,100,100,
Cyprus,CYP,2018,100,100,
Czechia,CZE,2018,100,100,
Denmark,DNK,2018,100,100,
Egypt,EGY,2018,100,100,
Estonia,EST,2018,100,100,
European Union,,2018,100,100,
Faeroe Islands,FRO,2018,100,100,
Finland,FIN,2018,100,100,
France,FRA,2018,100,100,
French Polynesia,PYF,2018,100,100,
Georgia,GEO,2018,100,99.80000305175780,
Germany,DEU,2018,100,100,
Gibraltar,GIB,2018,100,100,
Greece,GRC,2018,100,100,
Greenland,GRL,2018,100,100,
Guam,GUM,2018,100,100,
High income,,2018,100,99.99931335449220,
Hong Kong,HKG,2018,100,100,
Hungary,HUN,2018,100,100,
Iceland,ISL,2018,100,100,
Iran,IRN,2018,100,100,
Ireland,IRL,2018,100,100,
Isle of Man,IMN,2018,100,100,
Israel,ISR,2018,100,100,
Italy,ITA,2018,100,100,
Japan,JPN,2018,100,100,
Kazakhstan,KAZ,2018,100,100,
Kuwait,KWT,2018,100,100,
Kyrgyzstan,KGZ,2018,100,100,
Latvia,LVA,2018,100,100,
Liechtenstein,LIE,2018,100,100,
Lithuania,LTU,2018,100,100,
Luxembourg,LUX,2018,100,100,
Macao,MAC,2018,100,100,
Maldives,MDV,2018,100,100,
Malta,MLT,2018,100,100,
Moldova,MDA,2018,100,99.97000122070310,
Monaco,MCO,2018,100,100,
Montenegro,MNE,2018,100,100,
Netherlands,NLD,2018,100,100,
New Caledonia,NCL,2018,100,100,
New Zealand,NZL,2018,100,100,
North America,,2018,100,100,
North Macedonia,MKD,2018,100,99.80000305175780,
Northern Mariana Islands,MNP,2018,100,100,
Norway,NOR,2018,100,100,
Oman,OMN,2018,100,100,
Palau,PLW,2018,100,100,
Palestine,PSE,2018,100,100,
Poland,POL,2018,100,100,
Portugal,PRT,2018,100,100,
Puerto Rico,PRI,2018,100,100,
Qatar,QAT,2018,100,100,
Romania,ROU,2018,100,100,
Russia,RUS,2018,100,100,
Saint Kitts and Nevis,KNA,2018,100,100,
Saint Martin (French part),MAF,2018,100,100,
Saint Vincent and the Grenadines,VCT,2018,100,100,
San Marino,SMR,2018,100,100,
Saudi Arabia,SAU,2018,100,100,
Serbia,SRB,2018,100,100,
Seychelles,SYC,2018,100,100,
Singapore,SGP,2018,100,100,
Sint Maarten (Dutch part),SXM,2018,100,100,
Slovakia,SVK,2018,100,100,
Slovenia,SVN,2018,100,100,
South Korea,KOR,2018,100,100,
Spain,ESP,2018,100,100,
Sweden,SWE,2018,100,100,
Switzerland,CHE,2018,100,100,
Trinidad and Tobago,TTO,2018,100,100,
Turkey,TUR,2018,100,100,
Turkmenistan,TKM,2018,100,100,
Turks and Caicos Islands,TCA,2018,100,100,
Ukraine,UKR,2018,100,100,
United Arab Emirates,ARE,2018,100,100,
United Kingdom,GBR,2018,100,100,
United States,USA,2018,100,100,
United States Virgin Islands,VIR,2018,100,100,
Uruguay,URY,2018,100,99.80000305175780,
Uzbekistan,UZB,2018,100,100,
Vietnam,VNM,2018,100,100,
Burkina Faso,BFA,2018,,62.29999923706060,
Libya,LBY,2018,,100,
Mauritania,MRT,2018,,84.06363677978520,
Nauru,NRU,2018,,99.861572265625,
