Entity,Code,Year,RuralAccess,UrbanAccess,Continent
Turkmenistan,TKM,2019,99.9000015258789,99.9000015258789,
Kyrgyzstan,KGZ,2019,99.9666976928711,99.7140121459961,
Iraq,IRQ,2019,99.97273254394530,100,
Europe and Central Asia,,2019,99.99380493164060,99.99452209472660,
Albania,ALB,2019,100,100,
Andorra,AND,2019,100,100,
Antigua and Barbuda,ATG,2019,100,100,
Argentina,ARG,2019,100,100,
Armenia,ARM,2019,100,100,
Aruba,ABW,2019,100,100,
Australia,AUS,2019,100,100,
Austria,AUT,2019,100,100,
Azerbaijan,AZE,2019,100,100,
Bahamas,BHS,2019,100,100,
Bahrain,BHR,2019,100,100,
Barbados,BRB,2019,100,100,
Belarus,BLR,2019,100,100,
Belgium,BEL,2019,100,100,
Bermuda,BMU,2019,100,100,
Bhutan,BTN,2019,100,100,
Bosnia and Herzegovina,BIH,2019,100,100,
British Virgin Islands,VGB,2019,100,100,
Brunei,BRN,2019,100,100,
Bulgaria,BGR,2019,100,100,
Canada,CAN,2019,100,100,
Cayman Islands,CYM,2019,100,100,
Channel Islands,OWID_CIS,2019,100,100,
Chile,CHL,2019,100,100,
China,CHN,2019,100,100,
Croatia,HRV,2019,100,100,
Curacao,CUW,2019,100,100,
Cyprus,CYP,2019,100,100,
Czechia,CZE,2019,100,100,
Denmark,DNK,2019,100,100,
Egypt,EGY,2019,100,100,
Estonia,EST,2019,100,100,
European Union,,2019,100,100,
Faeroe Islands,FRO,2019,100,100,
Finland,FIN,2019,100,100,
France,FRA,2019,100,100,
French Polynesia,PYF,2019,100,100,
Georgia,GEO,2019,100,100,
Germany,DEU,2019,100,100,
Gibraltar,GIB,2019,100,100,
Greece,GRC,2019,100,100,
Greenland,GRL,2019,100,100,
Guam,GUM,2019,100,100,
High income,,2019,100,99.9996566772461,
Hong Kong,HKG,2019,100,100,
Hungary,HUN,2019,100,100,
Iceland,ISL,2019,100,100,
Iran,IRN,2019,100,100,
Ireland,IRL,2019,100,100,
Isle of Man,IMN,2019,100,100,
Israel,ISR,2019,100,100,
Italy,ITA,2019,100,100,
Japan,JPN,2019,100,100,
Jordan,JOR,2019,100,100,
Kazakhstan,KAZ,2019,100,100,
Kosovo,OWID_KOS,2019,100,99.9000015258789,
Kuwait,KWT,2019,100,100,
Latvia,LVA,2019,100,100,
Liechtenstein,LIE,2019,100,100,
Lithuania,LTU,2019,100,100,
Luxembourg,LUX,2019,100,100,
Macao,MAC,2019,100,100,
Malaysia,MYS,2019,100,100,
Maldives,MDV,2019,100,100,
Malta,MLT,2019,100,100,
Marshall Islands,MHL,2019,100,95.80902862548830,
Mauritius,MUS,2019,100,100,
Moldova,MDA,2019,100,100,
Monaco,MCO,2019,100,100,
Montenegro,MNE,2019,100,100,
Nauru,NRU,2019,100,100,
Netherlands,NLD,2019,100,100,
New Caledonia,NCL,2019,100,100,
New Zealand,NZL,2019,100,100,
North America,,2019,100,100,
North Macedonia,MKD,2019,100,100,
Northern Mariana Islands,MNP,2019,100,100,
Norway,NOR,2019,100,100,
Oman,OMN,2019,100,100,
Palau,PLW,2019,100,100,
Palestine,PSE,2019,100,100,
Poland,POL,2019,100,100,
Portugal,PRT,2019,100,100,
Puerto Rico,PRI,2019,100,100,
Qatar,QAT,2019,100,100,
Romania,ROU,2019,100,100,
Russia,RUS,2019,100,100,
Saint Kitts and Nevis,KNA,2019,100,100,
Saint Lucia,LCA,2019,100,97.21565246582030,
Saint Martin (French part),MAF,2019,100,100,
Saint Vincent and the Grenadines,VCT,2019,100,100,
San Marino,SMR,2019,100,100,
Saudi Arabia,SAU,2019,100,100,
Serbia,SRB,2019,100,99.9000015258789,
Seychelles,SYC,2019,100,100,
Singapore,SGP,2019,100,100,
Sint Maarten (Dutch part),SXM,2019,100,100,
Slovakia,SVK,2019,100,100,
Slovenia,SVN,2019,100,100,
South Korea,KOR,2019,100,100,
Spain,ESP,2019,100,100,
Sweden,SWE,2019,100,100,
Switzerland,CHE,2019,100,100,
Trinidad and Tobago,TTO,2019,100,100,
Tunisia,TUN,2019,100,100,
Turkey,TUR,2019,100,100,
Turks and Caicos Islands,TCA,2019,100,100,
Ukraine,UKR,2019,100,100,
United Arab Emirates,ARE,2019,100,100,
United Kingdom,GBR,2019,100,100,
United States,USA,2019,100,100,
United States Virgin Islands,VIR,2019,100,100,
Uruguay,URY,2019,100,99.9000015258789,
Uzbekistan,UZB,2019,100,100,
Angola,AGO,2019,,72.27718353271480,
Burkina Faso,BFA,2019,,64.43108367919920,
Chad,TCD,2019,,36.70000076293950,
Libya,LBY,2019,,100,
Mauritania,MRT,2019,,86.21941375732420,
