Entity,Code,Year,RuralAccess,UrbanAccess,Continent
Equatorial Guinea,GNQ,2020,0.9326300024986270,90.96696472167970,
Democratic Republic of Congo,COD,2020,1,40.65993118286130,
Chad,TCD,2020,1.9943064451217700,40.624454498291000,
Haiti,HTI,2020,2.200197458267210,80.54474639892580,
Central African Republic,CAF,2020,2.252866744995120,33.56291961669920,
Burundi,BDI,2020,3.484119415283200,63.67844009399410,
Mozambique,MOZ,2020,4.468690872192380,74.96321868896480,
Sierra Leone,SLE,2020,4.774038791656490,54.69330978393560,
South Sudan,SSD,2020,5.563847541809080,13.868668556213400,
Malawi,MWI,2020,6.611880302429200,53.98027038574220,
Liberia,LBR,2020,8.358771324157720,45.17257308959960,
Madagascar,MDG,2020,10.89848518371580,70.16197204589840,
Niger,NER,2020,13.441147804260300,48.39099884033200,
Congo,COG,2020,14.754021644592300,66.00507354736330,
Guinea-Bissau,GNB,2020,15.168089866638200,56.27449417114260,
Mali,MLI,2020,16.4873046875,94.08895874023440,
Benin,BEN,2020,18.196510314941400,66.1453857421875,
Guinea,GIN,2020,19.30759620666500,88.08341217041020,
Tanzania,TZA,2020,21.95284652709960,72.9000015258789,
Togo,TGO,2020,23.957883834838900,94.14375305175780,
Nigeria,NGA,2020,24.576908111572300,83.9000015258789,
Djibouti,DJI,2020,24.79414176940920,72.15770721435550,
Cameroon,CMR,2020,24.97561264038090,94.026611328125,
Botswana,BWA,2020,26.382898330688500,90.7364501953125,
Gabon,GAB,2020,27.763301849365200,98.5889663696289,
Sub-Saharan Africa,,2020,28.686473846435500,78.2887191772461,
Low income,,2020,30.72635269165040,69.40457916259770,
Gambia,GMB,2020,31.562685012817400,80.63490295410160,
Somalia,SOM,2020,32.26346969604490,70.12004089355470,
Uganda,UGA,2020,32.831607818603500,69.87100219726560,
Lesotho,LSO,2020,34.93008804321290,77.7254867553711,
Namibia,NAM,2020,36.288028717041000,74.66879272460940,
Rwanda,RWA,2020,38.19730758666990,86.4000015258789,
Eritrea,ERI,2020,39.02468490600590,76.30296325683590,
Ethiopia,ETH,2020,39.41490936279300,93.2479248046875,
Sudan,SDN,2020,41.163734436035200,81.51765441894530,
